Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93144,Praksa u posebnim uvjetima,Vidaček-Hainš Violeta,4,DA
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93145,Psihologija razrednog odjeljenja,Brajša-Žganec Andreja Zlatić Luka,4,DA
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93146,Računalna grafika,Hip Ivan Horvat Damir,5,NE
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93148,Školska praksa 2,Hajdin Goran,3,DA
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93147,Sustavi za elektronsko učenje,Kermek Dragutin Kliček Božidar Plantak Vukovac Dijana,4,DA
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93149,Uzorci dizajna,Kermek Dragutin,5,NE
diplomski sveučilišni studij,Informatika u obrazovanju,2,3,93150,Višeagentni sustavi,Schatten Markus Okreša Đurić Bogdan Peharda Tomislav,4,NE
diplomski sveučilišni studij,Informatika u obrazovanju,2,4,69575,diplomski rad,,30,DA
diplomski sveučilišni studij,Informatika u obrazovanju,2,4,69576,Stručna praksa,,6,DA
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,214603,Baze znanja i semantički Web,Lovrenčić Sandra Oreški Dijana,5,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93136,ERP sustavi,Picek Ruben Vrček Neven Mijač Marko,5,DA
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93137,Inteligentni sustavi,Kliček Božidar Oreški Dijana,4,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93138,Kvaliteta mjerenja u informatici,Kirinić Valentina Kozina Melita Žgela Mario,5,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93139,Metode pretraživanja i klasifikacija informacija,Dobša Jasminka Kirinić Valentina,4,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93141,Mjerenje organizacijskih performansi,Fabac Robert Tomičić Furjan Martina,5,DA
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93142,Modeliranje i simulacije,Žajdela Hrustek Nikolina Perši Nenad,5,DA
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93146,Računalna grafika,Hip Ivan Horvat Damir,5,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93147,Sustavi za elektronsko učenje,Kermek Dragutin Kliček Božidar Plantak Vukovac Dijana,4,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93149,Uzorci dizajna,Kermek Dragutin,5,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,3,93150,Višeagentni sustavi,Schatten Markus Okreša Đurić Bogdan Peharda Tomislav,4,NE
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,4,69575,diplomski rad,,30,DA
diplomski sveučilišni studij,Organizacija poslovnih sustava,2,4,69576,Stručna praksa,,6,DA
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76566,IT menadžment,Kozina Melita Strahonja Vjeran Pažur Aničić Katarina,5,DA
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76564,Korporacijsko upravljanje,Klačmer Čalopa Marina Đunđek Kokotec Ivana Kokot Karolina Cingula Marijan,5,DA
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76567,Operacijski menadžment,Žajdela Hrustek Nikolina Perši Nenad,5,DA
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,200744,Poduzetničke strategije,Detelj Kristina Vuković Ksenija Bubanić Marijana Šmaguc Tamara,5,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,200747,Regionalne ekonomske integracije,Dvorski Stjepan Dvorski Lacković Ivana Lacković Vincek Zrinka,4,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76575,Statistička analiza podataka,Dobša Jasminka Šimić Diana Gusić Jelena,4,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76571,Strategija upravljanja ljudskim potencijalima,Klačmer Čalopa Marina Vidaček-Hainš Violeta Đunđek Kokotec Ivana Kokot Karolina,4,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,200745,Upravljanje procesnim performansama,Pihir Igor Tomičić Furjan Martina Vidačić Stjepan,4,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,3,76573,Upravljanje projektnim ciklusom,Divjak Blaženka Pažur Aničić Katarina Begičević Ređep Nina Klačmer Čalopa Marina Vondra Petra,4,NE
diplomski sveučilišni studij,Ekonomika poduzetništva,2,4,76585,diplomski rad,,30,DA
diplomski sveučilišni studij,Ekonomika poduzetništva,2,4,76582,Stručna praksa,,6,DA
preddiplomski sveučilišni,Poslovni sustavi,2,3,61769,Arhitektura računalnih sustava,Ivković Nikola Magdalenić Ivan Milić Luka,6,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61773,Državni i upravni informacijski sustavi,Bača Miroslav Grd Petra,4,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61774,Financijska matematika,Erjavec Zlatko Horvat Damir Žugec Petra,5,DA
preddiplomski sveučilišni,Poslovni sustavi,2,3,61775,Informacijski sustavi u uredskom poslovanju,Mekovec Renata Sabati Zvonimir Peras Dijana,3,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61776,Marketing,Dobrinić Damir Gregurec Iva Tomašek Lucija,4,DA
preddiplomski sveučilišni,Poslovni sustavi,2,3,61770,Modeliranje poslovnih procesa,Tomičić-Pupek Katarina Vrček Neven Pihir Igor,5,DA
preddiplomski sveučilišni,Poslovni sustavi,2,3,61777,Poslovni engleski jezik 1,Fara Višnja,3,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61778,Poslovni njemački jezik 1,Bunić Branko,3,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61771,Programiranje 2,Radošević Danijel Konecki Mladen,5,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,61772,Strukture podataka,Lovrenčić Alen Okreša Đurić Bogdan Banić Bojan,6,NE
preddiplomski sveučilišni,Poslovni sustavi,2,3,95809,Tjelesna i zdravstvena kultura 3,Vučić Damir,0,DA
preddiplomski sveučilišni,Poslovni sustavi,2,3,61779,Uvod u formalne metode,Lovrenčić Sandra Čubrilo Mirko Sekovanić Vlatka,5,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61769,Arhitektura računalnih sustava,Ivković Nikola Magdalenić Ivan Milić Luka,6,DA
preddiplomski sveučilišni,Informacijski sustavi,2,3,61773,Državni i upravni informacijski sustavi,Bača Miroslav Grd Petra,4,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61774,Financijska matematika,Erjavec Zlatko Horvat Damir Žugec Petra,5,NE
