Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128679,Međunarodno poslovanje,Dvorski Stjepan Dvorski Lacković Ivana Lacković Vincek Zrinka Novak Ema,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128673,Osobne financije,Klačmer Čalopa Marina Đunđek Kokotec Ivana Vuković Ksenija,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128675,Poslovni engleski jezik 3,Fara Višnja,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128674,Poslovni njemački jezik 3,Bunić Branko,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128672,Poslovno planiranje i projekti,Detelj Kristina Konecki Irena Korent Dina,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128676,Upravljanje kvalitetom,Kirinić Valentina Kozina Melita,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128671,Upravljanje odnosima s kupcima,Dobrinić Damir Gerić Sandro Gregurec Iva,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128687,Elektroničko poslovanje,Vrček Neven Spremić Mario Gerić Sandro,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128690,Otkrivanje znanja u podacima,Kliček Božidar Oreški Dijana,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128681,Poduzetnički pothvat,Konecki Irena Klačmer Čalopa Marina Đunđek Kokotec Ivana Novak Ema Šmaguc Tamara Detelj Kristina Stapić Zlatko Cingula Marijan,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128689,Poslovni procesi,Pihir Igor Tomičić Furjan Martina Hrustek Larisa,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128683,Poslovno odlučivanje,Kadoić Nikola Hunjak Tihomir,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128688,Revizija,Sever Mališ Sanja Žager Lajoš Brozović Mateja,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128684,Socijalno poduzetništvo,Konecki Irena Novak Ema Detelj Kristina Lovrenčić Sandra Vidaček-Hainš Violeta,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,6,128696,Završni rad,,4,DA
